names	cells.sorted	µl.of.RNA	sample.group	Tcell.spec	replicate.number	tissue	group	AAV.status	CART.status	files
01A	40100	20	CY	OVA	1	brain	brain.OVA.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/01A_quant/quant.sf
01B	146000	20	CY	bSYN	1	brain	brain.bSYN.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/01B_quant/quant.sf
02A	106525	20	TY	OVA	1	brain	brain.OVA.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/02A_quant/quant.sf
02B	89560	20	TY	bSYN	1	brain	brain.bSYN.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/02B_quant/quant.sf
03A	40140	20	CY	OVA	2	brain	brain.OVA.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/03A_quant/quant.sf
03B	105451	20	CY	bSYN	2	brain	brain.bSYN.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/03B_quant/quant.sf
04A	160247	20	TY	OVA	2	brain	brain.OVA.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/04A_quant/quant.sf
04B	116360	20	TY	bSYN	2	brain	brain.bSYN.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/04B_quant/quant.sf
05A	93762	20	CY	OVA	3	brain	brain.OVA.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/05A_quant/quant.sf
05B	140000	20	CY	bSYN	3	brain	brain.bSYN.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/05B_quant/quant.sf
06B	33090	20	TY	bSYN	3	brain	brain.bSYN.TY	TRUE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/06B_quant/quant.sf
07A	27153	20	CY	OVA	4	brain	brain.OVA.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/07A_quant/quant.sf
07B	71088	20	CY	bSYN	4	brain	brain.bSYN.CY	TRUE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/07B_quant/quant.sf
08A	67700	20	CN	OVA	1	brain	brain.OVA.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/08A_quant/quant.sf
08B	133500	20	CN	bSYN	1	brain	brain.bSYN.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/08B_quant/quant.sf
09A	60036	20	CN	OVA	2	brain	brain.OVA.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/09A_quant/quant.sf
09B	145684	20	CN	bSYN	2	brain	brain.bSYN.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/09B_quant/quant.sf
10A	104000	20	TN	OVA	1	brain	brain.OVA.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/10A_quant/quant.sf
10B	117956	20	TN	bSYN	1	brain	brain.bSYN.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/10B_quant/quant.sf
11A	46438	20	CN	OVA	3	brain	brain.OVA.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/11A_quant/quant.sf
11B	73938	20	CN	bSYN	3	brain	brain.bSYN.CN	FALSE	TRUE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/11B_quant/quant.sf
12B	127000	20	TN	bSYN	2	brain	brain.bSYN.TN	FALSE	FALSE	/home/haberl/mnt/projects_share/p1400_RNAseq_CAR-T/data/quants/12B_quant/quant.sf
