ensembl_transcript_id_version	ensembl_gene_id
ENSRNOT00000101581.1	ENSRNOG00000066169
ENSRNOT00000105380.1	ENSRNOG00000064641
ENSRNOT00000044979.2	ENSRNOG00000033395
ENSRNOT00000094775.1	ENSRNOG00000066660
ENSRNOT00000087667.2	ENSRNOG00000070168
ENSRNOT00000119508.1	ENSRNOG00000070901
ENSRNOT00000096208.1	ENSRNOG00000064338
ENSRNOT00000101383.1	ENSRNOG00000064338
ENSRNOT00000101998.1	ENSRNOG00000064338
ENSRNOT00000024353.6	ENSRNOG00000018029
ENSRNOT00000045306.5	ENSRNOG00000031391
ENSRNOT00000084106.2	ENSRNOG00000055342
ENSRNOT00000110046.1	ENSRNOG00000068698
ENSRNOT00000119364.1	ENSRNOG00000064173
ENSRNOT00000099225.1	ENSRNOG00000067904
ENSRNOT00000081030.2	ENSRNOG00000063979
ENSRNOT00000100743.1	ENSRNOG00000064851
ENSRNOT00000099750.1	ENSRNOG00000067593
ENSRNOT00000097468.1	ENSRNOG00000067593
ENSRNOT00000106905.1	ENSRNOG00000063562
ENSRNOT00000109762.1	ENSRNOG00000063562
ENSRNOT00000075346.2	ENSRNOG00000050129
ENSRNOT00000092137.2	ENSRNOG00000056886
ENSRNOT00000036217.4	ENSRNOG00000029996
ENSRNOT00000026088.6	ENSRNOG00000032625
ENSRNOT00000099999.1	ENSRNOG00000032625
ENSRNOT00000094997.1	ENSRNOG00000032625
ENSRNOT00000050814.5	ENSRNOG00000029315
ENSRNOT00000119131.1	ENSRNOG00000016356
ENSRNOT00000022309.8	ENSRNOG00000016356
ENSRNOT00000031397.6	ENSRNOG00000028288
ENSRNOT00000096567.1	ENSRNOG00000062643
ENSRNOT00000101154.1	ENSRNOG00000062643
ENSRNOT00000081471.2	ENSRNOG00000015810
ENSRNOT00000021532.5	ENSRNOG00000015810
ENSRNOT00000112286.1	ENSRNOG00000015810
ENSRNOT00000119157.1	ENSRNOG00000013596
ENSRNOT00000018527.6	ENSRNOG00000013596
ENSRNOT00000036656.5	ENSRNOG00000022863
ENSRNOT00000023610.8	ENSRNOG00000017538
ENSRNOT00000049631.5	ENSRNOG00000017538
ENSRNOT00000012978.6	ENSRNOG00000009377
